,round,steps,score
0,400,175,50
0,401,36,7
0,402,22,5
0,403,12,4
0,404,132,38
0,405,4,0
0,406,212,50
0,407,37,11
0,408,108,29
0,409,92,27
0,410,35,15
0,411,184,38
0,412,38,13
0,413,232,46
0,414,216,50
0,415,69,24
0,416,184,50
0,417,21,4
0,418,94,30
0,419,10,3
0,420,164,42
0,421,14,5
0,422,7,2
0,423,220,50
0,424,118,32
0,425,49,16
0,426,236,49
0,427,185,50
0,428,20,6
0,429,16,4
0,430,36,13
0,431,39,7
0,432,185,49
0,433,106,33
0,434,293,50
0,435,61,18
0,436,9,2
0,437,60,13
0,438,7,3
0,439,101,30
0,440,129,27
0,441,54,17
0,442,324,50
0,443,225,50
0,444,10,2
0,445,79,26
0,446,14,3
0,447,201,50
0,448,86,25
0,449,59,14
0,450,39,15
0,451,191,50
0,452,64,21
0,453,6,1
0,454,109,31
0,455,322,50
0,456,220,50
0,457,21,5
0,458,92,31
0,459,180,48
0,460,116,36
0,461,224,50
0,462,103,29
0,463,93,33
0,464,182,50
0,465,138,37
0,466,174,48
0,467,126,33
0,468,13,3
0,469,197,50
0,470,162,46
0,471,230,50
0,472,65,21
0,473,180,45
0,474,121,38
0,475,93,26
0,476,56,17
0,477,24,8
0,478,224,50
0,479,89,19
0,480,27,13
0,481,109,18
0,482,52,15
0,483,17,4
0,484,122,27
0,485,198,50
0,486,69,25
0,487,18,4
0,488,272,50
0,489,149,43
0,490,195,50
0,491,15,6
0,492,109,17
0,493,177,45
0,494,158,27
0,495,6,1
0,496,124,44
0,497,37,10
0,498,35,9
0,499,172,50
0,500,206,47
0,501,72,17
0,502,170,44
0,503,133,38
0,504,160,41
0,505,40,5
0,506,29,12
0,507,56,22
0,508,85,24
0,509,26,9
0,510,138,38
0,511,97,29
0,512,186,49
0,513,123,39
0,514,155,17
0,515,195,50
0,516,182,50
0,517,23,9
0,518,112,35
0,519,63,15
0,520,229,50
0,521,268,50
0,522,177,50
0,523,13,2
0,524,255,44
0,525,202,50
0,526,255,50
0,527,73,14
0,528,81,23
0,529,93,29
0,530,167,50
0,531,152,38
0,532,193,50
0,533,47,18
0,534,162,50
0,535,114,17
0,536,39,10
0,537,182,50
0,538,265,48
0,539,137,28
0,540,55,27
0,541,250,24
0,542,131,36
0,543,71,10
0,544,254,50
0,545,29,11
0,546,81,22
0,547,67,5
0,548,108,30
0,549,197,50
0,550,56,18
0,551,44,10
0,552,225,50
0,553,147,29
0,554,141,34
0,555,88,20
0,556,182,47
0,557,282,44
0,558,53,14
0,559,38,10
0,560,9,1
0,561,17,3
0,562,41,9
0,563,177,48
0,564,119,36
0,565,4,1
0,566,108,34
0,567,186,50
0,568,40,14
0,569,32,14
0,570,75,15
0,571,107,38
0,572,47,9
0,573,24,11
0,574,50,17
0,575,39,12
0,576,11,3
0,577,204,50
0,578,109,40
0,579,120,35
0,580,151,50
0,581,134,41
0,582,168,50
0,583,88,22
0,584,188,45
0,585,129,32
0,586,113,29
0,587,4,1
0,588,77,16
0,589,226,50
0,590,213,47
0,591,145,50
0,592,136,36
0,593,146,50
0,594,195,50
0,595,6,1
0,596,149,37
0,597,284,48
0,598,31,7
0,599,10,3
0,600,119,36
0,601,41,13
0,602,100,24
0,603,55,17
0,604,145,28
0,605,192,50
0,606,158,48
0,607,345,49
0,608,170,50
0,609,12,2
0,610,184,46
0,611,91,26
0,612,6,2
0,613,262,46
0,614,44,14
0,615,250,50
0,616,258,49
0,617,37,10
0,618,186,50
0,619,191,50
0,620,28,8
0,621,30,7
0,622,33,15
0,623,186,50
0,624,38,13
0,625,22,7
0,626,20,9
0,627,8,3
0,628,28,8
0,629,152,43
0,630,290,48
0,631,107,32
0,632,168,28
0,633,67,21
0,634,75,21
0,635,172,50
0,636,187,49
0,637,76,20
0,638,170,50
0,639,21,5
0,640,126,40
0,641,99,29
0,642,45,14
0,643,222,49
0,644,176,50
0,645,4,0
0,646,65,26
0,647,74,14
0,648,52,22
0,649,88,10
0,650,227,47
0,651,54,20
0,652,121,31
0,653,215,49
0,654,55,15
0,655,74,12
0,656,54,16
0,657,15,1
0,658,21,7
0,659,191,50
0,660,32,10
0,661,162,47
0,662,144,33
0,663,113,36
0,664,110,28
0,665,295,49
0,666,82,21
0,667,230,41
0,668,154,32
0,669,275,50
0,670,79,25
0,671,120,37
0,672,208,50
0,673,17,3
0,674,127,42
0,675,198,50
0,676,129,36
0,677,12,3
0,678,156,47
0,679,161,46
0,680,86,22
0,681,4,0
0,682,45,16
0,683,232,44
0,684,11,3
0,685,134,34
0,686,194,47
0,687,46,19
0,688,102,33
0,689,207,50
0,690,117,35
0,691,37,12
0,692,182,36
0,693,207,43
0,694,16,4
0,695,191,42
0,696,173,44
0,697,33,10
0,698,18,6
0,699,57,14
0,700,186,50
0,701,188,50
0,702,67,24
0,703,115,39
0,704,10,3
0,705,80,25
0,706,117,36
0,707,202,47
0,708,116,24
0,709,113,37
0,710,161,50
0,711,93,30
0,712,260,35
0,713,185,48
0,714,400,49
0,715,209,48
0,716,283,50
0,717,138,41
0,718,85,22
0,719,272,46
0,720,145,37
0,721,37,12
0,722,117,35
0,723,163,45
0,724,4,0
0,725,58,16
0,726,152,27
0,727,114,33
0,728,21,6
0,729,155,43
0,730,4,1
0,731,45,12
0,732,51,20
0,733,40,11
0,734,164,38
0,735,74,11
0,736,110,28
0,737,215,49
0,738,9,1
0,739,71,17
0,740,180,47
0,741,297,50
0,742,129,45
0,743,198,50
0,744,211,50
0,745,62,27
0,746,199,50
0,747,24,9
0,748,169,50
0,749,28,9
0,750,162,36
0,751,120,40
0,752,49,9
0,753,84,23
0,754,97,28
0,755,64,26
0,756,117,39
0,757,144,37
0,758,202,50
0,759,178,37
0,760,27,5
0,761,323,49
0,762,203,48
0,763,21,6
0,764,190,50
0,765,28,7
0,766,252,50
0,767,96,35
0,768,246,50
0,769,110,36
0,770,197,50
0,771,296,49
0,772,10,2
0,773,214,49
0,774,70,24
0,775,207,50
0,776,231,50
0,777,196,50
0,778,5,0
0,779,169,43
0,780,99,33
0,781,109,35
0,782,115,40
0,783,6,1
0,784,189,50
0,785,117,33
0,786,140,28
0,787,58,18
0,788,124,34
0,789,155,28
0,790,162,37
0,791,33,13
0,792,97,30
0,793,316,42
0,794,211,50
0,795,32,9
0,796,10,3
0,797,196,45
0,798,134,22
0,799,71,16
0,800,29,3
0,801,190,48
0,802,160,32
0,803,114,36
0,804,65,21
0,805,280,41
0,806,26,9
0,807,123,32
0,808,26,7
0,809,190,50
0,810,15,5
0,811,285,50
0,812,23,10
0,813,96,32
0,814,285,42
0,815,71,27
0,816,49,12
0,817,140,10
0,818,177,50
0,819,43,17
0,820,213,50
0,821,16,4
0,822,256,23
0,823,211,50
0,824,193,50
0,825,161,37
0,826,17,3
0,827,86,30
0,828,207,50
0,829,216,50
0,830,224,48
0,831,191,50
0,832,109,35
0,833,191,50
0,834,326,49
0,835,306,50
0,836,164,40
0,837,37,12
0,838,87,31
0,839,276,50
0,840,90,17
0,841,127,41
0,842,114,41
0,843,7,2
0,844,97,31
0,845,187,47
0,846,50,14
0,847,15,3
0,848,100,31
0,849,36,11
0,850,78,25
0,851,78,9
0,852,94,26
0,853,165,50
0,854,51,11
0,855,6,2
0,856,160,33
0,857,147,25
0,858,112,32
0,859,12,3
0,860,203,50
0,861,89,28
0,862,322,49
0,863,251,47
0,864,13,3
0,865,188,50
0,866,204,50
0,867,38,14
0,868,62,25
0,869,9,1
0,870,8,2
0,871,52,15
0,872,63,19
0,873,13,6
0,874,56,16
0,875,42,16
0,876,12,3
0,877,83,26
0,878,61,22
0,879,129,35
0,880,15,2
0,881,124,36
0,882,286,50
0,883,31,6
0,884,174,26
0,885,235,50
0,886,24,7
0,887,206,50
0,888,30,10
0,889,27,2
0,890,198,50
0,891,203,50
0,892,86,32
0,893,211,50
0,894,107,25
0,895,18,6
0,896,177,50
0,897,89,30
0,898,111,25
0,899,28,8
0,900,26,10
0,901,159,50
0,902,43,14
0,903,101,28
0,904,112,36
0,905,267,39
0,906,324,49
0,907,223,50
0,908,66,20
0,909,182,41
0,910,68,27
0,911,211,50
0,912,23,2
0,913,71,23
0,914,400,49
0,915,183,47
0,916,24,8
0,917,47,16
0,918,132,43
0,919,198,50
0,920,133,41
0,921,38,11
0,922,260,41
0,923,191,46
0,924,29,9
0,925,88,29
0,926,234,50
0,927,32,9
0,928,93,27
0,929,67,22
0,930,16,6
0,931,74,27
0,932,177,48
0,933,192,50
0,934,98,31
0,935,84,19
0,936,48,14
0,937,197,50
0,938,176,50
0,939,91,26
0,940,162,43
0,941,227,47
0,942,185,50
0,943,23,8
0,944,59,11
0,945,199,50
0,946,250,50
0,947,193,50
0,948,152,34
0,949,10,2
0,950,17,6
0,951,66,22
0,952,230,50
0,953,77,23
0,954,141,43
0,955,41,10
0,956,171,50
0,957,153,41
0,958,166,48
0,959,315,48
0,960,30,1
0,961,228,50
0,962,145,29
0,963,58,15
0,964,53,14
0,965,85,26
0,966,373,50
0,967,146,44
0,968,89,23
0,969,142,27
0,970,229,50
0,971,181,30
0,972,106,27
0,973,298,50
0,974,143,32
0,975,86,18
0,976,271,50
0,977,195,50
0,978,113,4
0,979,211,39
0,980,11,5
0,981,317,49
0,982,27,9
0,983,144,38
0,984,82,33
0,985,91,24
0,986,212,50
0,987,177,46
0,988,263,50
0,989,196,50
0,990,126,44
0,991,75,23
0,992,285,50
0,993,60,21
0,994,29,4
0,995,131,39
0,996,211,50
0,997,71,18
0,998,214,50
0,999,145,42
0,1000,74,16
0,1001,400,37
0,1002,184,50
0,1003,400,40
0,1004,400,37
0,1005,400,7
0,1006,141,50
0,1007,400,40
0,1008,400,28
0,1009,400,17
0,1010,131,50
0,1011,305,50
0,1012,400,21
0,1013,400,41
0,1014,400,44
0,1015,400,15
0,1016,217,50
0,1017,119,50
0,1018,400,10
0,1019,127,50
0,1020,179,50
0,1021,135,50
0,1022,115,50
0,1023,400,40
0,1024,334,50
0,1025,127,50
0,1026,129,50
0,1027,400,49
0,1028,400,24
0,1029,400,23
0,1030,141,50
0,1031,400,35
0,1032,387,50
0,1033,400,9
0,1034,130,50
0,1035,400,16
0,1036,400,10
0,1037,141,50
0,1038,118,50
0,1039,400,6
0,1040,400,19
0,1041,123,50
0,1042,119,50
0,1043,119,50
0,1044,287,50
0,1045,400,45
0,1046,400,38
0,1047,400,31
0,1048,400,24
0,1049,400,46
0,1050,400,36
0,1051,123,50
0,1052,267,50
0,1053,400,38
0,1054,400,36
0,1055,151,50
0,1056,400,27
0,1057,120,50
0,1058,400,8
0,1059,400,34
0,1060,400,21
0,1061,202,50
0,1062,400,20
0,1063,400,45
0,1064,133,50
0,1065,400,24
0,1066,123,50
0,1067,144,50
0,1068,400,5
0,1069,400,37
0,1070,400,24
0,1071,400,36
0,1072,400,34
0,1073,400,37
0,1074,400,11
0,1075,400,48
0,1076,139,50
0,1077,131,50
0,1078,125,50
0,1079,231,50
0,1080,400,19
0,1081,400,22
0,1082,119,50
0,1083,400,7
0,1084,400,45
0,1085,400,34
0,1086,400,11
0,1087,400,36
0,1088,400,42
0,1089,400,45
0,1090,400,33
0,1091,400,37
0,1092,319,50
0,1093,400,48
0,1094,400,27
0,1095,157,50
0,1096,400,41
0,1097,400,34
0,1098,400,23
0,1099,245,50
0,1100,400,32
0,1101,400,9
0,1102,349,50
0,1103,136,50
0,1104,327,50
0,1105,400,6
0,1106,400,32
0,1107,225,50
0,1108,400,40
0,1109,400,26
0,1110,400,34
0,1111,111,50
0,1112,400,44
0,1113,400,26
0,1114,400,29
0,1115,400,26
0,1116,400,16
0,1117,400,34
0,1118,400,44
0,1119,400,49
0,1120,400,38
0,1121,400,35
0,1122,400,36
0,1123,400,21
0,1124,400,18
0,1125,361,50
0,1126,154,50
0,1127,400,5
0,1128,130,50
0,1129,123,50
0,1130,400,46
0,1131,400,33
0,1132,160,50
0,1133,400,35
0,1134,400,32
0,1135,400,49
0,1136,126,50
0,1137,137,50
0,1138,400,40
0,1139,400,19
0,1140,400,21
0,1141,400,21
0,1142,272,50
0,1143,400,49
0,1144,269,50
0,1145,127,50
0,1146,254,50
0,1147,400,3
0,1148,139,50
0,1149,400,32
0,1150,299,50
0,1151,400,42
0,1152,393,50
0,1153,143,50
0,1154,400,13
0,1155,400,42
0,1156,400,18
0,1157,400,48
0,1158,400,4
0,1159,173,50
0,1160,400,14
0,1161,141,50
0,1162,121,50
0,1163,132,50
0,1164,400,14
0,1165,400,23
0,1166,400,36
0,1167,400,10
0,1168,303,50
0,1169,400,49
0,1170,209,50
0,1171,400,9
0,1172,400,40
0,1173,400,35
0,1174,164,50
0,1175,157,50
0,1176,125,50
0,1177,142,50
0,1178,400,39
0,1179,400,41
0,1180,400,28
0,1181,400,42
0,1182,358,50
0,1183,126,50
0,1184,123,50
0,1185,400,8
0,1186,400,45
0,1187,400,36
0,1188,400,48
0,1189,400,48
0,1190,400,30
0,1191,119,50
0,1192,134,50
0,1193,126,50
0,1194,400,33
0,1195,195,50
0,1196,225,50
0,1197,153,50
0,1198,400,23
0,1199,127,50
0,1200,400,16
0,1201,400,11
0,1202,400,11
0,1203,400,32
0,1204,400,41
0,1205,400,29
0,1206,400,11
0,1207,400,5
0,1208,400,49
0,1209,400,22
0,1210,400,29
0,1211,400,29
0,1212,400,49
0,1213,127,50
0,1214,400,44
0,1215,400,44
0,1216,400,48
0,1217,400,6
0,1218,149,50
0,1219,400,8
0,1220,113,50
0,1221,400,5
0,1222,400,32
0,1223,400,21
0,1224,378,50
0,1225,400,4
0,1226,400,45
0,1227,157,50
0,1228,400,35
0,1229,400,49
0,1230,400,47
0,1231,400,24
0,1232,400,5
0,1233,141,50
0,1234,400,27
0,1235,400,24
0,1236,400,6
0,1237,298,50
0,1238,340,50
0,1239,400,47
0,1240,202,50
0,1241,400,36
0,1242,400,21
0,1243,400,26
0,1244,400,37
0,1245,400,31
0,1246,400,46
0,1247,400,35
0,1248,400,17
0,1249,400,28
0,1250,139,50
0,1251,133,50
0,1252,400,4
0,1253,400,26
0,1254,400,46
0,1255,116,50
0,1256,400,23
0,1257,400,29
0,1258,384,50
0,1259,400,16
0,1260,400,34
0,1261,127,50
0,1262,400,49
0,1263,400,31
0,1264,400,2
0,1265,400,47
0,1266,148,50
0,1267,400,16
0,1268,400,42
0,1269,285,50
0,1270,400,11
0,1271,127,50
0,1272,113,50
0,1273,400,23
0,1274,400,11
0,1275,400,17
0,1276,140,50
0,1277,400,47
0,1278,400,34
0,1279,400,23
0,1280,268,50
0,1281,400,47
0,1282,115,50
0,1283,400,5
0,1284,400,46
0,1285,400,49
0,1286,400,30
0,1287,400,38
0,1288,400,31
0,1289,122,50
0,1290,400,36
0,1291,400,30
0,1292,131,50
0,1293,400,34
0,1294,125,50
