,round,steps,score
0,400,64,25
0,401,19,6
0,402,125,33
0,403,64,22
0,404,179,47
0,405,16,6
0,406,77,26
0,407,196,50
0,408,8,3
0,409,74,17
0,410,173,48
0,411,38,10
0,412,240,50
0,413,194,50
0,414,124,35
0,415,148,40
0,416,84,27
0,417,51,15
0,418,149,45
0,419,64,15
0,420,235,41
0,421,237,50
0,422,23,8
0,423,55,8
0,424,7,2
0,425,244,50
0,426,134,37
0,427,24,9
0,428,209,50
0,429,93,25
0,430,117,37
0,431,15,4
0,432,192,41
0,433,69,23
0,434,52,10
0,435,56,15
0,436,86,28
0,437,127,30
0,438,233,47
0,439,59,23
0,440,49,16
0,441,8,3
0,442,179,50
0,443,173,47
0,444,209,45
0,445,182,50
0,446,8,2
0,447,105,22
0,448,125,30
0,449,168,34
0,450,130,33
0,451,244,50
0,452,36,13
0,453,50,21
0,454,240,50
0,455,93,30
0,456,4,1
0,457,4,1
0,458,146,34
0,459,8,2
0,460,41,12
0,461,243,50
0,462,47,23
0,463,134,38
0,464,242,50
0,465,91,13
0,466,27,7
0,467,223,39
0,468,266,50
0,469,120,39
0,470,88,33
0,471,121,37
0,472,43,14
0,473,77,25
0,474,211,28
0,475,211,50
0,476,143,30
0,477,174,50
0,478,105,16
0,479,149,41
0,480,196,50
0,481,114,19
0,482,130,41
0,483,266,50
0,484,184,50
0,485,93,29
0,486,336,50
0,487,268,48
0,488,6,2
0,489,42,18
0,490,213,45
0,491,76,24
0,492,202,50
0,493,220,40
0,494,97,16
0,495,31,8
0,496,12,2
0,497,90,28
0,498,174,40
0,499,14,4
0,500,246,50
0,501,60,20
0,502,78,24
0,503,159,50
0,504,220,41
0,505,65,15
0,506,41,16
0,507,92,18
0,508,206,50
0,509,114,27
0,510,11,2
0,511,347,47
0,512,151,42
0,513,189,50
0,514,368,50
0,515,246,50
0,516,141,40
0,517,185,44
0,518,31,9
0,519,177,34
0,520,108,30
0,521,180,36
0,522,274,50
0,523,171,50
0,524,183,50
0,525,38,12
0,526,126,37
0,527,31,11
0,528,9,1
0,529,32,12
0,530,150,42
0,531,349,50
0,532,229,50
0,533,21,5
0,534,45,21
0,535,58,18
0,536,10,0
0,537,256,50
0,538,22,6
0,539,47,17
0,540,9,2
0,541,132,37
0,542,87,28
0,543,44,16
0,544,190,50
0,545,11,3
0,546,7,2
0,547,43,12
0,548,61,18
0,549,96,35
0,550,142,40
0,551,13,1
0,552,190,46
0,553,33,15
0,554,55,14
0,555,122,31
0,556,60,22
0,557,194,50
0,558,142,36
0,559,111,37
0,560,67,13
0,561,226,47
0,562,187,50
0,563,191,44
0,564,98,27
0,565,179,50
0,566,192,50
0,567,5,2
0,568,57,18
0,569,206,50
0,570,11,2
0,571,108,26
0,572,198,50
0,573,18,7
0,574,31,10
0,575,13,4
0,576,232,50
0,577,32,10
0,578,14,5
0,579,346,50
0,580,145,41
0,581,317,50
0,582,205,50
0,583,84,19
0,584,176,50
0,585,91,32
0,586,15,4
0,587,26,9
0,588,131,36
0,589,230,50
0,590,223,50
0,591,93,28
0,592,175,36
0,593,368,48
0,594,91,28
0,595,37,15
0,596,56,20
0,597,74,26
0,598,69,25
0,599,81,22
0,600,229,50
0,601,39,9
0,602,90,28
0,603,128,29
0,604,65,18
0,605,116,32
0,606,62,24
0,607,95,30
0,608,6,1
0,609,143,38
0,610,189,46
0,611,87,27
0,612,90,35
0,613,130,44
0,614,81,17
0,615,187,48
0,616,104,33
0,617,36,13
0,618,38,14
0,619,253,50
0,620,179,47
0,621,102,31
0,622,17,6
0,623,151,38
0,624,4,0
0,625,157,47
0,626,223,50
0,627,288,50
0,628,232,50
0,629,400,48
0,630,218,50
0,631,156,45
0,632,40,6
0,633,136,37
0,634,31,10
0,635,180,50
0,636,237,50
0,637,199,50
0,638,17,5
0,639,186,50
0,640,38,13
0,641,151,46
0,642,9,4
0,643,166,50
0,644,33,12
0,645,241,50
0,646,190,50
0,647,161,41
0,648,49,14
0,649,66,15
0,650,21,5
0,651,23,6
0,652,42,15
0,653,178,50
0,654,255,50
0,655,272,40
0,656,191,49
0,657,117,28
0,658,152,25
0,659,126,15
0,660,14,6
0,661,258,50
0,662,161,45
0,663,112,27
0,664,34,12
0,665,46,12
0,666,309,50
0,667,41,8
0,668,57,18
0,669,141,23
0,670,213,41
0,671,34,8
0,672,87,25
0,673,49,16
0,674,173,50
0,675,61,19
0,676,156,45
0,677,152,40
0,678,148,39
0,679,197,50
0,680,285,49
0,681,54,21
0,682,154,33
0,683,82,19
0,684,51,19
0,685,109,26
0,686,257,50
0,687,77,25
0,688,15,4
0,689,33,9
0,690,14,3
0,691,13,3
0,692,217,50
0,693,167,44
0,694,125,37
0,695,174,50
0,696,32,14
