,round,steps,score
0,400,20,0
0,401,20,0
0,402,7,0
0,403,18,1
0,404,25,1
0,405,13,0
0,406,7,0
0,407,14,0
0,408,400,1
0,409,14,0
0,410,14,0
0,411,18,0
0,412,6,0
0,413,7,0
0,414,20,0
0,415,6,0
0,416,7,0
0,417,7,0
0,418,46,0
0,419,400,0
0,420,22,1
0,421,20,1
0,422,18,1
0,423,400,1
0,424,18,0
0,425,400,0
0,426,6,0
0,427,400,0
0,428,10,0
0,429,6,0
0,430,20,0
0,431,400,0
0,432,7,0
0,433,400,0
0,434,400,1
0,435,7,0
0,436,23,1
0,437,22,1
0,438,400,0
0,439,14,0
0,440,23,0
0,441,400,0
0,442,400,1
0,443,7,0
0,444,7,0
0,445,22,0
0,446,6,0
0,447,7,0
0,448,400,1
0,449,400,0
0,450,400,0
0,451,18,0
0,452,7,0
0,453,23,0
0,454,13,0
0,455,400,0
0,456,6,0
0,457,27,0
0,458,6,0
0,459,20,0
0,460,6,0
0,461,14,0
0,462,400,0
0,463,14,0
0,464,6,0
0,465,20,0
0,466,8,0
0,467,400,1
0,468,15,0
0,469,20,0
0,470,23,0
0,471,400,1
0,472,18,0
0,473,18,0
0,474,400,0
0,475,7,0
0,476,18,2
0,477,20,0
0,478,400,0
0,479,14,0
0,480,6,0
0,481,20,0
0,482,400,0
0,483,20,0
0,484,400,1
0,485,400,0
0,486,400,1
0,487,6,0
0,488,14,0
0,489,400,0
0,490,8,0
0,491,18,1
0,492,20,0
0,493,7,0
0,494,13,0
0,495,9,0
0,496,20,0
0,497,23,0
0,498,14,0
0,499,20,0
0,500,6,0
